00时25分00秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
00时25分01秒     all      4.88      0.00      1.38      0.00      0.00     93.75
00时25分02秒     all      4.86      0.00      1.10      0.03      0.00     94.01
00时25分03秒     all      4.84      0.00      1.50      0.00      0.00     93.66
00时25分04秒     all      5.22      0.00      1.03      0.00      0.00     93.75
00时25分05秒     all      5.02      0.00      1.37      0.00      0.00     93.60
00时25分06秒     all      4.89      0.00      0.97      0.00      0.00     94.13
00时25分07秒     all      4.99      0.00      1.37      0.03      0.00     93.60
00时25分08秒     all      4.87      0.00      1.44      0.00      0.00     93.70
00时25分09秒     all      5.10      0.00      0.91      0.00      0.00     93.99
00时25分10秒     all      5.47      0.00      1.70      0.00      0.00     92.82
00时25分11秒     all      5.17      0.00      1.28      0.00      0.00     93.55
00时25分12秒     all      4.97      0.00      1.00      0.03      0.00     93.99
00时25分13秒     all      4.74      0.00      0.91      0.00      0.00     94.35
00时25分14秒     all      4.93      0.00      1.25      0.00      0.00     93.82
00时25分15秒     all      5.38      0.00      1.12      0.00      0.00     93.50
00时25分16秒     all      4.36      0.00      1.13      0.00      0.00     94.51
00时25分17秒     all      4.59      0.00      0.88      0.00      0.00     94.54
00时25分18秒     all      5.06      0.00      1.68      0.03      0.00     93.24
00时25分19秒     all      4.86      0.00      0.94      0.00      0.00     94.20
00时25分20秒     all      5.10      0.00      1.43      0.00      0.00     93.47
00时25分21秒     all      4.77      0.00      0.91      0.00      0.00     94.32
00时25分22秒     all      4.63      0.00      1.44      0.00      0.00     93.93
00时25分23秒     all      4.56      0.00      0.91      0.00      0.00     94.53
00时25分24秒     all      4.90      0.00      1.06      0.00      0.00     94.03
00时25分25秒     all      4.30      0.00      1.25      0.00      0.00     94.45
00时25分26秒     all      4.80      0.00      1.28      0.03      0.00     93.89
00时25分27秒     all      4.61      0.00      1.71      0.00      0.00     93.68
00时25分28秒     all      5.07      0.00      1.40      0.00      0.00     93.53
00时25分29秒     all      4.62      0.00      0.75      0.00      0.00     94.63
00时25分30秒     all      4.71      0.00      0.94      0.00      0.00     94.35
00时25分31秒     all      5.00      0.00      0.97      0.00      0.00     94.03
00时25分32秒     all      4.46      0.00      1.00      0.00      0.00     94.54
00时25分33秒     all      5.10      0.00      0.57      0.03      0.00     94.31
00时25分34秒     all      4.60      0.00      1.28      0.00      0.00     94.11
00时25分35秒     all      4.59      0.00      0.72      0.00      0.00     94.68
00时25分36秒     all      5.25      0.00      1.00      0.00      0.00     93.76
00时25分37秒     all      4.42      0.00      1.16      0.00      0.00     94.43
00时25分38秒     all      5.00      0.00      1.16      0.00      0.00     93.84
00时25分39秒     all      4.93      0.00      0.85      0.00      0.00     94.22
00时25分40秒     all      4.67      0.00      0.82      0.03      0.00     94.48
00时25分41秒     all      5.22      0.00      0.94      0.00      0.00     93.84
00时25分42秒     all      5.07      0.00      1.27      0.00      0.00     93.66
00时25分43秒     all      5.05      0.00      0.82      0.00      0.00     94.14
00时25分44秒     all      4.85      0.00      1.49      0.03      0.00     93.63
00时25分45秒     all      5.08      0.00      0.82      0.00      0.00     94.10
00时25分46秒     all      4.91      0.00      1.03      0.00      0.00     94.06
00时25分47秒     all      4.76      0.00      1.19      0.00      0.00     94.05
00时25分48秒     all      5.32      0.00      0.91      0.00      0.00     93.77
00时25分49秒     all      4.58      0.00      0.91      0.00      0.00     94.51
00时25分50秒     all      5.09      0.00      0.78      0.03      0.00     94.10
00时25分51秒     all      4.51      0.00      0.63      0.00      0.00     94.86
00时25分52秒     all      4.82      0.00      0.66      0.00      0.00     94.52
00时25分53秒     all      5.23      0.00      1.06      0.00      0.00     93.71
00时25分54秒     all      4.86      0.00      1.22      0.00      0.00     93.91
00时25分55秒     all      4.92      0.00      0.85      0.00      0.00     94.24
00时25分56秒     all      5.04      0.00      1.40      0.03      0.00     93.53
00时25分57秒     all      5.26      0.00      0.97      0.00      0.00     93.77
00时25分58秒     all      5.35      0.00      1.12      0.00      0.00     93.52
00时25分59秒     all      5.38      0.00      0.97      0.00      0.00     93.65
00时26分00秒     all      5.31      0.00      1.19      0.00      0.00     93.50
00时26分01秒     all      5.10      0.00      1.00      0.00      0.00     93.90
00时26分02秒     all      5.02      0.00      0.75      0.03      0.00     94.20
00时26分03秒     all      5.24      0.00      1.18      0.00      0.00     93.58
00时26分04秒     all      5.46      0.00      1.19      0.00      0.00     93.35
00时26分05秒     all      4.93      0.00      1.31      0.00      0.00     93.76
00时26分06秒     all      5.01      0.00      0.91      0.00      0.00     94.08
00时26分07秒     all      4.82      0.00      0.76      0.00      0.00     94.43
00时26分08秒     all      5.25      0.00      1.09      0.03      0.00     93.63
00时26分09秒     all      5.51      0.00      0.75      0.00      0.00     93.74
00时26分10秒     all      5.24      0.00      1.37      0.00      0.00     93.39
00时26分11秒     all      5.40      0.00      1.00      0.00      0.00     93.60
00时26分12秒     all      5.70      0.00      1.21      0.00      0.00     93.08
00时26分13秒     all      5.08      0.00      0.78      0.00      0.00     94.14
00时26分14秒     all      5.07      0.00      1.00      0.03      0.00     93.90
00时26分15秒     all      5.47      0.00      1.24      0.00      0.00     93.28
00时26分16秒     all      5.72      0.00      1.40      0.00      0.00     92.89
00时26分17秒     all      4.91      0.00      0.79      0.00      0.00     94.30
00时26分18秒     all      5.20      0.00      0.85      0.00      0.00     93.96
